ano;x;regiao;cod_uf;silga_uf;desc_uf
2016;1;Norte;11;RO;Rondônia
2016;1;Norte;12;AC;Acre
2016;1;Norte;13;AM;Amazonas
2016;1;Norte;14;RR;Roraima
2016;1;Norte;15;PA;Pará
2016;1;Norte;16;AP;Amapá
2016;1;Norte;17;TO;Tocantins
2016;2;Nordeste;21;MA;Maranhão
2016;2;Nordeste;22;PI;Piauí
2016;2;Nordeste;23;CE;Ceará
2016;2;Nordeste;24;RN;Rio Grande do Norte
2016;2;Nordeste;25;PB;Paraíba
2016;2;Nordeste;26;PE;Pernambuco
2016;2;Nordeste;27;AL;Alagoas
2016;2;Nordeste;28;SE;Sergipe
2016;2;Nordeste;29;BA;Bahia
2016;3;Sudeste;31;MG;Minas Gerais
2016;3;Sudeste;32;ES;Espírito Santo
2016;3;Sudeste;33;RJ;Rio de Janeiro
2016;3;Sudeste;35;SP;São Paulo
2016;4;Sul;41;PR;Paraná
2016;4;Sul;42;SC;Santa Catarina
2016;4;Sul;43;RS;Rio Grande do Sul
2016;5;Centro-oeste;50;MS;Mato Grosso do Sul
2016;5;Centro-oeste;51;MT;Mato Grosso
2016;5;Centro-oeste;52;GO;Goiás
2016;5;Centro-oeste;53;DF;Distrito Federal
